Transaction ID,Amount ($),Time (Seconds Since Last Transaction),Location,Transaction Type,Device Used,"Fraud (1 = Yes, 0 = No)"
TXN00001,0.7958945006401628,-0.19334924569868453,0,1,2,0
TXN00002,-1.4328893678869208,0.3372758473921997,2,1,0,0
TXN00003,0.14221062032332704,-1.0846879847489888,5,0,3,0
TXN00004,0.07301748618340669,-0.575650001744479,1,3,2,0
TXN00005,0.26182086225364165,-1.3465187393450155,4,3,0,1
TXN00006,0.44645178802398194,-0.5700791346254146,4,3,1,0
TXN00007,-1.5698848194001298,-1.0429064813560056,2,3,3,0
TXN00008,-0.1929762204348802,-0.6000225453903858,4,2,0,0
TXN00009,0.2075790083550106,-0.5561519668277536,5,3,3,0
TXN00010,1.1616793102642644,1.6450369035925678,1,0,1,0
TXN00011,-1.1460334097691602,-0.9649143416891041,2,0,2,0
TXN00012,-1.4645304493277889,-0.8493188489685177,3,3,0,0
TXN00013,0.6842814551179797,0.28713804332062004,0,2,2,0
TXN00014,-0.8859506744090576,1.5698301974851985,4,3,0,0
TXN00015,0.11474198918235363,-0.7525250327747738,4,0,0,0
TXN00016,0.024338899351301894,0.8052286853936094,2,0,2,0
TXN00017,0.5003459377309551,-0.8075373455755347,0,0,2,0
TXN00018,-1.320233209789764,1.5552066712976542,0,1,0,0
TXN00019,-0.14812237971101222,-0.30337387130020643,4,0,1,0
TXN00020,-0.554936283950745,-1.0700644585614445,4,3,1,0
TXN00021,0.4920010371311657,-0.45100184995541304,3,0,0,0
TXN00022,1.281289552194579,0.21750220433231504,0,2,2,0
TXN00023,1.492693700722577,-1.727426778611044,5,1,1,0
TXN00024,-0.8424876504518212,0.08310503508488638,2,2,0,0
TXN00025,0.9972152276100819,-1.6494346389441423,2,0,3,0
TXN00026,-1.0201644923890036,1.5962918163007542,3,1,0,0
TXN00027,-0.7767715582284798,0.04898347398061692,3,1,2,0
TXN00028,1.4554893522151826,0.38114642595483184,5,1,0,0
TXN00029,-1.6661988804893657,-1.4272963125714493,1,0,3,0
TXN00030,-0.7812917127200323,0.1805952096685134,2,2,3,0
TXN00031,-0.6870638767807438,-1.3228425540889919,0,0,0,0
TXN00032,-0.1123088479702494,-0.7810757267599788,4,1,3,0
TXN00033,-1.0716247127543717,-0.3486371666426047,5,0,0,0
TXN00034,0.9572292455694243,-0.7859502354891602,2,1,2,0
TXN00035,-1.2913737618821588,0.8936662009087567,0,1,2,0
TXN00036,-1.2006229678594493,-0.2964102874013759,5,1,2,0
TXN00037,-0.49547886717724565,-0.051988492552425346,1,0,1,0
TXN00038,-0.3793456671635099,0.3212596044248895,0,0,0,0
TXN00039,1.3410946731597364,0.19382601907629135,2,1,2,0
TXN00040,0.14325373289830073,0.6450662557205078,4,3,0,0
TXN00041,1.3251002803434733,-0.6362331816643044,0,2,3,0
TXN00042,1.2002744755382904,-1.6543091476733236,2,1,2,0
TXN00043,0.8803866192130304,-0.7810757267599788,5,1,1,0
TXN00044,-0.823711624102295,-1.6375965463161304,1,1,2,0
TXN00045,0.7162702407505056,1.6944783492742643,0,1,1,0
TXN00046,1.5903985785784445,1.7070128002921592,5,1,3,0
TXN00047,0.43602066227424524,0.6151228449555367,5,3,0,0
TXN00048,0.17559022272248462,-0.8179827214237805,3,0,3,0
TXN00049,0.7364370838666633,-1.6828598416585288,5,3,3,0
TXN00050,1.6303845606191019,0.9445003633702194,0,1,3,1
TXN00051,-1.4624442241778415,-1.397352901806478,1,1,3,0
TXN00052,1.128299707865107,1.1290353366892276,4,1,3,0
TXN00053,-0.6359513606070337,-0.6550348581911467,3,0,0,0
TXN00054,-1.1808038289349494,-0.7873429522689263,5,2,1,0
TXN00055,-0.3609173450056417,-0.41339849690172836,0,2,3,0
TXN00056,0.8949901952626618,1.2077238347460124,2,3,2,0
TXN00057,-0.6634199917480071,-1.378551225279636,3,3,1,0
TXN00058,-1.3769089930300003,-1.4398307635893441,1,2,1,0
TXN00059,-0.3956877641714308,-0.040150399924413493,2,1,2,0
TXN00060,1.0458938144421865,-0.40643491300289786,1,0,2,0
TXN00061,1.6380340528355755,1.2794487489039665,2,3,2,0
TXN00062,0.6578559365519799,-1.0665826666120293,4,0,2,0
TXN00063,0.24130631494582608,-1.159894690856358,1,1,2,0
TXN00064,-1.6759345978557867,-1.689127067167476,2,1,3,0
TXN00065,-0.23783006115874816,1.6979601412236796,1,3,1,0
TXN00066,-1.3859493020131053,1.5461540122291746,3,2,2,0
TXN00067,0.9207203054453458,0.5977138852084604,1,2,2,0
TXN00068,1.55980060971255,-1.1766072922135513,0,2,0,0
TXN00069,-1.3786475139882897,-1.5408027301223866,1,1,1,0
TXN00070,1.0041693114432397,-0.5380466486907943,2,1,1,0
TXN00071,0.506952317372455,-0.05338120933219145,1,0,3,0
TXN00072,1.012166507851371,-0.8716023174447753,4,0,1,0
TXN00073,0.654378894635401,1.4159349933210443,5,0,2,0
TXN00074,1.0205114084511606,-0.6989054367537789,3,1,0,0
TXN00075,1.2336540779374479,1.5259596189225662,0,2,1,0
TXN00076,-1.4266306924370786,0.5628959657143079,2,1,0,0
TXN00077,1.4906074755726297,1.3790279986572427,1,0,2,0
TXN00078,-0.03268458808059228,0.3518993735797437,1,0,0,0
TXN00079,-0.042420305447013244,-1.6696290322507508,1,0,1,0
TXN00080,0.4694002646734028,0.7251474705570585,3,0,1,0
TXN00081,1.2482576539870793,-0.45239456673517914,0,3,3,0
TXN00082,1.287548227644421,0.7223620369975263,5,0,2,0
TXN00083,0.7743368407573735,-0.6048970541195672,4,1,3,0
TXN00084,0.10257234247432745,-0.6466785575125501,0,3,3,0
TXN00085,-1.0149489295141354,-0.7476505240455924,4,2,2,0
TXN00086,-1.7096619044466022,0.3303122634933692,0,1,1,0
TXN00087,1.0518047857003707,1.1840476494899885,2,1,0,0
TXN00088,-0.8390106085352422,-0.9468090235521447,5,2,3,0
TXN00089,0.16759302631435313,-0.7497395992152416,5,1,1,0
TXN00090,-1.0271185762221615,0.7711071242893399,3,3,1,0
TXN00091,-0.7948521761946901,0.8734718076021483,0,2,3,0
TXN00092,1.636295531877286,-0.25880693434769125,1,3,3,0
TXN00093,0.0963136670244854,-1.272008391627529,5,0,3,0
TXN00094,0.22148717602132628,0.10051399483196263,0,2,1,0
TXN00095,0.6102204622948488,0.19800416941558965,1,3,2,0
TXN00096,-1.5959626337744717,1.0301524453258346,3,0,2,0
