Transaction ID,Amount ($),Time (Seconds Since Last Transaction),Location,Transaction Type,Device Used,Fraud
TXN00001,7280,2213,Canada,Bank Transfer,Laptop,0
TXN00002,870,2975,Germany,Bank Transfer,ATM Machine,0
TXN00003,5400,933,USA,ATM Withdrawal,Mobile,0
TXN00004,5201,1664,China,Wire Transfer,Laptop,0
TXN00005,5744,557,UK,Wire Transfer,ATM Machine,1
TXN00006,6275,1672,UK,Wire Transfer,Desktop,0
TXN00007,476,993,Germany,Wire Transfer,Mobile,0
TXN00008,4436,1629,UK,Online Purchase,ATM Machine,0
TXN00009,5588,1692,USA,Wire Transfer,Mobile,0
TXN00010,8332,4853,China,ATM Withdrawal,Desktop,0
TXN00011,1695,1105,Germany,ATM Withdrawal,Laptop,0
TXN00012,779,1271,India,Wire Transfer,ATM Machine,0
TXN00013,6959,2903,Canada,Online Purchase,Laptop,0
TXN00014,2443,4745,UK,Wire Transfer,ATM Machine,0
TXN00015,5321,1410,UK,ATM Withdrawal,ATM Machine,0
TXN00016,5061,3647,Germany,ATM Withdrawal,Laptop,0
TXN00017,6430,1331,Canada,ATM Withdrawal,Laptop,0
TXN00018,1194,4724,Canada,Bank Transfer,ATM Machine,0
TXN00019,4565,2055,UK,ATM Withdrawal,Desktop,0
TXN00020,3395,954,UK,Wire Transfer,Desktop,0
TXN00021,6406,1843,India,ATM Withdrawal,ATM Machine,0
TXN00022,8676,2803,Canada,Online Purchase,Laptop,0
TXN00023,9284,10,USA,Bank Transfer,Desktop,0
TXN00024,2568,2610,Germany,Online Purchase,ATM Machine,0
TXN00025,7859,122,Germany,ATM Withdrawal,Mobile,0
TXN00026,2057,4783,India,Bank Transfer,ATM Machine,0
TXN00027,2757,2561,India,Bank Transfer,Laptop,0
TXN00028,9177,3038,USA,Bank Transfer,ATM Machine,0
TXN00029,199,441,China,ATM Withdrawal,Mobile,0
TXN00030,2744,2750,Germany,Online Purchase,Mobile,0
TXN00031,3015,591,Canada,ATM Withdrawal,ATM Machine,0
TXN00032,4668,1369,UK,Bank Transfer,Mobile,0
TXN00033,1909,1990,USA,ATM Withdrawal,ATM Machine,0
TXN00034,7744,1362,Germany,Bank Transfer,Laptop,0
TXN00035,1277,3774,Canada,Bank Transfer,Laptop,0
TXN00036,1538,2065,USA,Bank Transfer,Laptop,0
TXN00037,3566,2416,China,ATM Withdrawal,Desktop,0
TXN00038,3900,2952,Canada,ATM Withdrawal,ATM Machine,0
TXN00039,8848,2769,Germany,Bank Transfer,Laptop,0
TXN00040,5403,3417,UK,Wire Transfer,ATM Machine,0
TXN00041,8802,1577,Canada,Online Purchase,Mobile,0
TXN00042,8443,115,Germany,Bank Transfer,Laptop,0
TXN00043,7523,1369,USA,Bank Transfer,Desktop,0
